MTU (CET/CEST);Day-ahead Price [EUR/MWh];Currency;BZN|DK1
09.01.2023 18:00 - 09.01.2023 19:00;18218;EUR;
09.01.2023 19:00 - 09.01.2023 20:00;17024;EUR;
09.01.2023 20:00 - 09.01.2023 21:00;16051;EUR;
09.01.2023 21:00 - 09.01.2023 22:00;13893;EUR;
09.01.2023 22:00 - 09.01.2023 23:00;13200;EUR;
09.01.2023 23:00 - 10.01.2023 00:00;10831;EUR;
10.01.2023 00:00 - 10.01.2023 01:00;10602;EUR;
10.01.2023 01:00 - 10.01.2023 02:00;9671;EUR;
10.01.2023 02:00 - 10.01.2023 03:00;9514;EUR;
10.01.2023 03:00 - 10.01.2023 04:00;9036;EUR;
10.01.2023 04:00 - 10.01.2023 05:00;9561;EUR;
10.01.2023 05:00 - 10.01.2023 06:00;10860;EUR;
10.01.2023 06:00 - 10.01.2023 07:00;13813;EUR;
10.01.2023 07:00 - 10.01.2023 08:00;15473;EUR;
10.01.2023 08:00 - 10.01.2023 09:00;16533;EUR;
10.01.2023 09:00 - 10.01.2023 10:00;16042;EUR;
10.01.2023 10:00 - 10.01.2023 11:00;15473;EUR;
10.01.2023 11:00 - 10.01.2023 12:00;14645;EUR;
10.01.2023 12:00 - 10.01.2023 13:00;14122;EUR;
10.01.2023 13:00 - 10.01.2023 14:00;14168;EUR;
10.01.2023 14:00 - 10.01.2023 15:00;14541;EUR;
10.01.2023 15:00 - 10.01.2023 16:00;14592;EUR;
10.01.2023 16:00 - 10.01.2023 17:00;14011;EUR;
10.01.2023 17:00 - 10.01.2023 18:00;14634;EUR;
10.01.2023 18:00 - 10.01.2023 19:00;13880;EUR;
10.01.2023 19:00 - 10.01.2023 20:00;12444;EUR;
10.01.2023 20:00 - 10.01.2023 21:00;10615;EUR;
10.01.2023 21:00 - 10.01.2023 22:00;8653;EUR;
10.01.2023 22:00 - 10.01.2023 23:00;8130;EUR;
10.01.2023 23:00 - 11.01.2023 00:00;4296;EUR;
11.01.2023 00:00 - 11.01.2023 01:00;500;EUR;
11.01.2023 01:00 - 11.01.2023 02:00;16;EUR;
11.01.2023 02:00 - 11.01.2023 03:00;8;EUR;
11.01.2023 03:00 - 11.01.2023 04:00;1;EUR;
11.01.2023 04:00 - 11.01.2023 05:00;4;EUR;
11.01.2023 05:00 - 11.01.2023 06:00;275;EUR;
11.01.2023 06:00 - 11.01.2023 07:00;5788;EUR;
11.01.2023 07:00 - 11.01.2023 08:00;9111;EUR;
11.01.2023 08:00 - 11.01.2023 09:00;12744;EUR;
11.01.2023 09:00 - 11.01.2023 10:00;12654;EUR;
11.01.2023 10:00 - 11.01.2023 11:00;12763;EUR;
11.01.2023 11:00 - 11.01.2023 12:00;12481;EUR;
11.01.2023 12:00 - 11.01.2023 13:00;11747;EUR;
11.01.2023 13:00 - 11.01.2023 14:00;11054;EUR;
11.01.2023 14:00 - 11.01.2023 15:00;11574;EUR;
11.01.2023 15:00 - 11.01.2023 16:00;11770;EUR;
11.01.2023 16:00 - 11.01.2023 17:00;11920;EUR;
11.01.2023 17:00 - 11.01.2023 18:00;12828;EUR;
11.01.2023 18:00 - 11.01.2023 19:00;12876;EUR;
11.01.2023 19:00 - 11.01.2023 20:00;12270;EUR;
11.01.2023 20:00 - 11.01.2023 21:00;11456;EUR;
11.01.2023 21:00 - 11.01.2023 22:00;9347;EUR;
11.01.2023 22:00 - 11.01.2023 23:00;9171;EUR;
11.01.2023 23:00 - 12.01.2023 00:00;6854;EUR;
12.01.2023 00:00 - 12.01.2023 01:00;1988;EUR;
12.01.2023 01:00 - 12.01.2023 02:00;555;EUR;
12.01.2023 02:00 - 12.01.2023 03:00;469;EUR;
12.01.2023 03:00 - 12.01.2023 04:00;10;EUR;
12.01.2023 04:00 - 12.01.2023 05:00;273;EUR;
12.01.2023 05:00 - 12.01.2023 06:00;2494;EUR;
12.01.2023 06:00 - 12.01.2023 07:00;8572;EUR;
12.01.2023 07:00 - 12.01.2023 08:00;11155;EUR;
12.01.2023 08:00 - 12.01.2023 09:00;10683;EUR;
12.01.2023 09:00 - 12.01.2023 10:00;9783;EUR;
12.01.2023 10:00 - 12.01.2023 11:00;9981;EUR;
12.01.2023 11:00 - 12.01.2023 12:00;10110;EUR;
12.01.2023 12:00 - 12.01.2023 13:00;10019;EUR;
12.01.2023 13:00 - 12.01.2023 14:00;9964;EUR;
12.01.2023 14:00 - 12.01.2023 15:00;10077;EUR;
12.01.2023 15:00 - 12.01.2023 16:00;10213;EUR;
12.01.2023 16:00 - 12.01.2023 17:00;10143;EUR;
12.01.2023 17:00 - 12.01.2023 18:00;11201;EUR;
12.01.2023 18:00 - 12.01.2023 19:00;11949;EUR;
12.01.2023 19:00 - 12.01.2023 20:00;10079;EUR;
12.01.2023 20:00 - 12.01.2023 21:00;9935;EUR;
12.01.2023 21:00 - 12.01.2023 22:00;8477;EUR;
12.01.2023 22:00 - 12.01.2023 23:00;7043;EUR;
12.01.2023 23:00 - 13.01.2023 00:00;3957;EUR;
13.01.2023 00:00 - 13.01.2023 01:00;3264;EUR;
13.01.2023 01:00 - 13.01.2023 02:00;1699;EUR;
